comment_text,label
"Fuck You Your a Fag==

==",highly-toxic
"Fuck 

Fuck you rapist",highly-toxic
"""

 Million Award 

Part of it seems to be the cryptic Million Madam award that is listed for Ayano Murasaki and given by the KM Produce Million label. I don't know if that's the same as the pink film Million label. I'm not sure what the """"academy awards"""" are about but I'll try making some sense of it this weekend. That reference for Murasaki has bothered me for months, I was never able to track it down, thanks for finding it.   """,non-toxic
"He's not a retired, he was just useless.",toxic
"Are you gay?
Are you a nigger?
Are you a gay nigger?

Then the Gay Nigger Association of America is right for you!

Give me yor moneyz!",highly-toxic
"""

WRONG retard, The good ending is not the canon ending. Wheeler only said that no one knows what happened to Cybil. She could have simply sneaked back into town, backed up her belongings and fled town to start a new life. If you had paid attention while playing SH: Homecoming, you would have learned that Wheeler said that The Order is one to bear a grudge. They don't take kindly to people that don't share their beliefs. And they are known to have the ability to track people down. And in the translated book of memories, Silent Hill Hiroyuki Owaku stated that Cybil's fate is """"left to players' imaginations"""".

Also, SH4 revealed that SH2 protagonist James Sunderland disappeared when he went to Silent Hill. Does that mean he died too? NO, not at all.

PLEASE pay attention when you play video games. 

Thank you. ;)""",toxic
"Excuse me?

After seeing shit like this I expected you to be some throwaway sock puppet. From an experienced editor it's just shameful. That was a blatant BLP violation and you know it. Attributing a call for genocide to a living person without citing a source is waaaaay off base. Don't do it again.",toxic
"""

 Re: Your request of evaluation 

Hi. Yesterday you requested my evaluation of your behaviour, and here it is:
you ARE the shame in Wikipedia
but you can't be """"a shame on the Ukrainian community"""" since you don't belong to such

In case if you need assessment of your activities, just use a special purpose register here.  """,non-toxic
"""

@POD. So where is YOUR reliable source for only twelve constellations? Here's what Wikipedia has to say, """"Taking the current constellation boundaries as defined in 1930 by the International Astronomical Union, the ecliptic itself passes through an additional thirteenth constellation, Ophiuchus, situated between Scorpius and Sagittarius."""" I am responding to your harassment, deceitfulness and hatefulness since I first appeared here. So do I risk another block by expressing myself, honestly. Hmmmmm. Yea, might as well, since I'm outta here anyway. You are a hypocritical piece of shhhitt! ~M~ """,toxic
"your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your 

your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded your retarded",toxic
"""
{| style=""""background-color:#F5FFFA; padding:0;"""" cellpadding=""""0""""
|class=""""MainPageBG"""" style=""""border:1px solid #084080; background-color:#F5FFFA; vertical-align:top; color:#000000; font-size:85%""""|
 Hello Gdzietobylo! Welcome to Wikipedia! Thank you for your contributions. If you decide that you need help, check out Getting Help below, ask me on my talk page, or place {{helpme}} on your talk page and someone will show up shortly to answer your questions. Please remember to sign your name on talk pages by clicking  or using four tildes (~~~~); this will automatically produce your name and the date. Finally, please do your best to always fill in the edit summary field. Below are some useful links to facilitate your involvement. Happy editing!  
{| width=""""100%"""" style=""""background-color:#F5FFFA;""""
|class=""""MainPageBG"""" style=""""width: 55%; border:1px solid #FFFFFF; background-color:#F5FFFA; vertical-align:top""""|
 Getting Started Wikipedia Tutorial • The five pillars of Wikipedia
 How to: edit a page • upload an image Getting Help Frequently Asked Questions
 Where to ask questions or make comments
 Request administrator attention Policies and Guidelines Neutral point of view • Reliable sources
 Verifiability • Citing sources • No original research
 What Wikipedia is not • Biographies of living persons

 Manual of Style • Three-revert rule • Sock puppetry
 Copyrights • Fair use • Image use policy
 External links • Spam • Vandalism
 Deletion policy • Conflict of interest • Notability
|class=""""MainPageBG"""" style=""""width: 55%; border:1px solid #FFFFFF; background-color:#F5FFFA; vertical-align:top""""|
{| width=""""100%"""" cellpadding=""""0"""" cellspacing=""""5"""" style=""""vertical-align:top; background-color:#F5FFFA""""
! The Community
|-
|style=""""color:#000""""|
 Build consensus • Resolving disputes
 Assume good faith • Civility • Etiquette
 No personal attacks • No legal threats
 Community Portal • [[Wikiped",non-toxic
"I shalt sever thy head at the neck. 

It will be dreadfully slow and painful, in accordance with Wikipedia policies.",highly-toxic
"You know, where I come from; the Midwest, people there say please. P-L-E-A-S-E. GET IT, YA DOUCHEBAGS?!?!?!?!",toxic
You fucking suck you shitty Jew.,highly-toxic
"When the fuck are you goona change the New England article to fit facts?  Boston is no business or cultural hub for CT, period!!!!",toxic
"stupid head 

YOur dumb and you are stupid die die die go suck a butt",highly-toxic
"Courtney Here are my suggestions from my Peer Review of your article Chunking, (Psychology)  by: Dan Hurlburt
Considering the fact that this article was removed by a previous editor I just looked in the articles history and examined the latest edited form of the article before the changes were undone in order to complete my peer review.

The lead section provides a good stand alone summary of Chunking, in psychology.  The article already has a strong intro that didn’t require much editing in the form of adding new material. It did however, require some fine tuned modifications that I think she did a good job of locating and crossing out words and rephrasing sentences that needed to be more specific.  The contribution does not seem to be cut and pasted from an existing source it flows well with the article and is properly placed.   The terms used go along with the articles style well and are easy to understand.  One sentence that sounds a little confusing when read is “Runners may chunk the numbers into different relevant mile, or other distances, times.” May need a little more elaboration just to clear up the point you are trying to get across.  In the Short term memory section the sentence:  “The short term memory processes (stores) information for about twenty to thirty seconds”  I think needs a word or two added in, in order to complete the thought, I tried to include a suggestion.     May need a little more elaboration just to clear up the point you are trying to get across.  She relates to her references where it seems necessary.  Even though the article already includes a decent amount of information she finds the areas that did need further elaboration and creates an appropriate section for the information.  Grammar and verb tenses and spelling all match up well with the rest of the article.  One area where a wiki link may help the article is in the section where she is talking about short term memory, possible link to Short Term Memory but I don’t think that it is necessary, since she does explain it a little using a reference.  Her references match up well with the rest of the ones listed in the document in format and when investigating them, they all are relevant to the subject matter and provide useful information for the article.  I don’t think that any images would enhance the article, considering the article already provides a good diagram that is explained well and fits the topic nicely.",non-toxic
"""Ahhhh . . . . it always feels good to have the last word, to get in the last word.  Although I don't sign my edits, you can see that from the SinBot that I am the person that started this Discussion of formatting the table (LOL).  Yes, good to see that everybody has more or less agreed upon a non-descript colour format - fair enough (better than no colour formatting for headings).  Jack Merridew - I see that you went and posted somewhere else that """"Miley Cyrus's fans can't have their own colour scheme"""".  Idiot, I had never even heard of this Miley Cyrus creature until I happened upon her page, and - to be quite frank - I don't think I would like her music if I were to hear it - I'm 55 years old.  Nitwit.  But you're a know-it-all, aren't you Jack?  You know how I know that???  Because I went and looked at your edits, and you apparently spend half of every day editing Wikipedia entries, and most of your edits are to do with table formatting and font formatting that you don't like.  Please.  Get a life!

""",toxic
burtalbert you fucking suck dick u king asshole,highly-toxic
